#,config,g,E,Eth_eV,n,Zeff,Eth_nm
345,5p5.(2P*<1/2>).7p,5.0,12.28292,1.153347,7,1,1074.995042
346,5p5.(2P*<1/2>).6d,3.0,12.45020,0.986067,6,1,1257.361175
347,5p5.(2P*<1/2>).4f,7.0,12.57507,0.861197,4,1,1439.673404
348,5p5.(2P*<1/2>).4f,9.0,12.57507,0.861197,4,1,1439.673404
349,5p5.(2P*<1/2>).4f,7.0,12.57507,0.861197,4,1,1439.673404
350,5p5.(2P*<1/2>).8s,3.0,12.57520,0.861067,8,1,1439.890759
351,5p5.(2P*<1/2>).4f,5.0,12.57563,0.860637,4,1,1440.610172
352,5p5.(2P*<1/2>).7d,3.0,12.82230,0.613967,7,1,2019.396140
353,5p5.(2P*<1/2>).5f,7.0,12.88545,0.550817,5,1,2250.915748
354,5p5.(2P*<1/2>).5f,9.0,12.88545,0.550817,5,1,2250.915748
355,5p5.(2P*<1/2>).5f,7.0,12.88545,0.550817,5,1,2250.915748
356,5p5.(2P*<1/2>).5f,5.0,12.88585,0.550417,5,1,2252.551538
357,5p5.(2P*<1/2>).9s,3.0,12.88870,0.547567,9,1,2264.275721
358,5p5.(2P*<1/2>).8d,3.0,13.02000,0.416267,8,1,2978.479865
359,5p5.(2P*<1/2>).6f,9.0,13.05407,0.382197,6,1,3243.989245
360,5p5.(2P*<1/2>).6f,7.0,13.05407,0.382197,6,1,3243.989245
361,5p5.(2P*<1/2>).6f,7.0,13.05407,0.382197,6,1,3243.989245
362,5p5.(2P*<1/2>).6f,5.0,13.05407,0.382197,6,1,3243.989245
363,5p5.(2P*<1/2>).10s,3.0,13.05599,0.380277,10,1,3260.368001
364,5p5.(2P*<1/2>).9d,3.0,13.13500,0.301267,9,1,4115.429898
365,5p5.(2P*<1/2>).7f,9.0,13.15569,0.280577,7,1,4418.905719
366,5p5.(2P*<1/2>).7f,7.0,13.15569,0.280577,7,1,4418.905719
367,5p5.(2P*<1/2>).7f,7.0,13.15569,0.280577,7,1,4418.905719
368,5p5.(2P*<1/2>).7f,5.0,13.15569,0.280577,7,1,4418.905719
369,5p5.(2P*<1/2>).11s,3.0,13.15730,0.278967,11,1,4444.408542
