#,config,g,E,Eth_eV,n,Zeff,Eth_nm
312,3s2.3p5.(2P*<3/2>).14s,5.0,15.662768,0.096844,14,1,12802.478879
313,3s2.3p5.(2P*<3/2>).14s,3.0,15.663170,0.096442,14,1,12855.843615
314,3s2.3p5.(2P*<3/2>).12d,3.0,15.663440,0.096172,12,1,12891.936047
315,3s2.3p5.(2P*<3/2>).12f,3.0,15.664820,0.094792,12,1,13079.619507
316,3s2.3p5.(2P*<3/2>).12f,5.0,15.664820,0.094792,12,1,13079.619507
317,3s2.3p5.(2P*<3/2>).12f,5.0,15.664900,0.094712,12,1,13090.667428
318,3s2.3p5.(2P*<3/2>).12f,7.0,15.664900,0.094712,12,1,13090.667428
319,3s2.3p5.(2P*<3/2>).14p,5.0,15.669950,0.089662,14,1,13827.969119
320,3s2.3p5.(2P*<3/2>).14p,5.0,15.670360,0.089252,14,1,13891.491210
321,3s2.3p5.(2P*<3/2>).13d,3.0,15.673207,0.086405,13,1,14349.209181
322,3s2.3p5.(2P*<3/2>).13d,9.0,15.674054,0.085558,13,1,14491.262459
323,3s2.3p5.(2P*<3/2>).13d,5.0,15.674169,0.085443,13,1,14510.766656
324,3s2.3p5.(2P*<3/2>).13d,7.0,15.674828,0.084784,13,1,14623.554523
325,3s2.3p5.(2P*<3/2>).13d,5.0,15.675583,0.084029,13,1,14754.947219
326,3s2.3p5.(2P*<3/2>).13d,7.0,15.675992,0.083620,13,1,14827.116324
327,3s2.3p5.(2P*<3/2>).15s,3.0,15.677540,0.082072,15,1,15106.778134
328,3s2.3p5.(2P*<3/2>).13d,3.0,15.677540,0.082072,13,1,15106.778134
329,3s2.3p5.(2P*<3/2>).13f,3.0,15.678890,0.080722,13,1,15359.425191
330,3s2.3p5.(2P*<3/2>).13f,5.0,15.678890,0.080722,13,1,15359.425191
331,3s2.3p5.(2P*<3/2>).13f,7.0,15.678950,0.080662,13,1,15370.850232
332,3s2.3p5.(2P*<3/2>).13f,5.0,15.678950,0.080662,13,1,15370.850232
333,3s2.3p5.(2P*<3/2>).15p,5.0,15.683110,0.076502,15,1,16206.682244
334,3s2.3p5.(2P*<3/2>).15p,5.0,15.683580,0.076032,15,1,16306.865728
335,3s2.3p5.(2P*<3/2>).14d,1.0,15.684998,0.074614,14,1,16616.769588
336,3s2.3p5.(2P*<3/2>).14d,3.0,15.685198,0.074414,14,1,16661.429979
337,3s2.3p5.(2P*<3/2>).14d,5.0,15.685820,0.073792,14,1,16801.870996
338,3s2.3p5.(2P*<3/2>).14d,9.0,15.686152,0.073460,14,1,16877.806590
339,3s2.3p5.(2P*<3/2>).14d,7.0,15.686933,0.072679,14,1,17059.173768
340,3s2.3p5.(2P*<1/2>).9p,1.0,15.68700,0.250106,9,1,4957.274381
341,3s2.3p5.(2P*<3/2>).14d,7.0,15.68773,0.071882,14,1,17248.319596
342,3s2.3p5.(2P*<3/2>).14d,3.0,15.68884,0.070772,14,1,17518.845535
343,3s2.3p5.(2P*<3/2>).16s,3.0,15.68891,0.070702,16,1,17536.190461
344,3s2.3p5.(2P*<3/2>).14f,5.0,15.69003,0.069582,14,1,17818.455436
345,3s2.3p5.(2P*<3/2>).14f,5.0,15.69008,0.069532,14,1,17831.268588
346,3s2.3p5.(2P*<3/2>).16p,5.0,15.69329,0.066322,16,1,18694.307376
347,3s2.3p5.(2P*<3/2>).15d,3.0,15.69495,0.064662,15,1,19174.227549
348,3s2.3p5.(2P*<3/2>).15d,3.0,15.69792,0.061692,15,1,20097.322085
349,3s2.3p5.(2P*<3/2>).17s,3.0,15.69812,0.061492,17,1,20162.687839
350,3s2.3p5.(2P*<3/2>).15f,5.0,15.69905,0.060562,15,1,20472.309890
351,3s2.3p5.(2P*<3/2>).15f,5.0,15.69905,0.060562,15,1,20472.309890
352,3s2.3p5.(2P*<3/2>).17p,5.0,15.70166,0.057952,17,1,21394.328475
353,3s2.3p5.(2P*<3/2>).16d,3.0,15.70278,0.056832,16,1,21815.951681
354,3s2.3p5.(2P*<3/2>).16d,3.0,15.70533,0.054282,16,1,22840.799315
355,3s2.3p5.(2P*<3/2>).18s,3.0,15.70562,0.053992,18,1,22963.481269
356,3s2.3p5.(2P*<3/2>).16f,5.0,15.70638,0.053232,16,1,23291.334413
357,3s2.3p5.(2P*<3/2>).16f,5.0,15.70638,0.053232,16,1,23291.334413
358,3s2.3p5.(2P*<3/2>).17d,3.0,15.70897,0.050642,17,1,24482.532929
359,3s2.3p5.(2P*<3/2>).17d,3.0,15.71130,0.048312,17,1,25663.283463
360,3s2.3p5.(2P*<3/2>).19s,3.0,15.71184,0.047772,19,1,25953.373936
361,3s2.3p5.(2P*<3/2>).17f,5.0,15.71255,0.047062,17,1,26344.919868
362,3s2.3p5.(2P*<3/2>).17f,5.0,15.71255,0.047062,17,1,26344.919868
